timestamp,unix_ts,node_id,condition,temp,feels_like,humidity,pressure,wind_speed,visibility,battery_level,signal_strength,latency_ms,packet_loss_rate,seq_num
Tue May 12 16:01:42 2026,1778581902.0945344,Delhi,Haze,37.05,40.92,39,999,5.14,5000,39.57,-59.57,789.17,5.47,312
Tue May 12 16:02:40 2026,1778581960.8250377,Delhi,Haze,37.05,40.92,39,999,5.14,5000,38.58,-57.38,929.81,5.41,315
Tue May 12 16:03:41 2026,1778582021.6965885,Delhi,Haze,37.05,40.92,39,999,5.14,5000,37.47,-52.82,867.66,5.35,319
Tue May 12 16:05:44 2026,1778582144.0953152,Delhi,Haze,37.05,40.92,39,999,5.14,5000,35.76,-58.2,405.5,5.23,326
Tue May 12 16:06:43 2026,1778582203.8340583,Delhi,Haze,37.05,40.92,39,999,5.14,5000,34.76,-56.33,321.97,5.18,329
Tue May 12 16:07:44 2026,1778582264.25848,Delhi,Haze,37.05,40.92,39,999,5.14,5000,33.66,-58.93,692.1,5.12,333
Tue May 12 16:08:44 2026,1778582324.4435475,Delhi,Haze,37.05,40.92,39,998,5.14,5000,32.56,-55.43,344.14,5.06,337
Tue May 12 16:09:45 2026,1778582385.4864318,Delhi,Haze,37.05,40.92,39,998,5.14,5000,31.45,-58.13,1155.99,5.0,341
Tue May 12 16:10:46 2026,1778582446.7454605,Delhi,Haze,37.05,40.92,39,998,5.14,5000,30.35,-53.75,455.1,5.23,345
Tue May 12 16:11:45 2026,1778582505.8971632,Delhi,Haze,37.05,40.92,39,998,5.14,5000,29.35,-49.87,229.23,5.19,348
Tue May 12 16:12:46 2026,1778582566.1517673,Delhi,Haze,37.05,40.92,39,998,5.14,5000,28.25,-50.49,436.77,5.13,352
Tue May 12 16:13:47 2026,1778582627.6177928,Delhi,Haze,37.05,40.92,39,998,5.14,5000,27.14,-57.23,375.27,5.07,356
Tue May 12 16:14:47 2026,1778582687.1376812,Delhi,Haze,37.05,40.92,39,998,5.14,5000,26.15,-56.94,852.63,5.03,359
Tue May 12 16:15:48 2026,1778582748.2298331,Delhi,Haze,37.05,40.92,39,998,5.14,5000,25.04,-57.18,144.66,4.97,363
Tue May 12 16:16:49 2026,1778582809.0224714,Delhi,Haze,37.05,40.92,39,998,5.14,5000,23.94,-50.81,704.0,4.92,367
Tue May 12 16:17:50 2026,1778582870.1578429,Delhi,Haze,37.05,40.92,39,998,5.14,5000,22.83,-56.45,234.4,4.86,371
Tue May 12 16:18:50 2026,1778582930.7891502,Delhi,Haze,36.05,39.6,41,998,5.14,5000,21.73,-55.64,619.86,4.81,375
Tue May 12 16:19:53 2026,1778582993.3950374,Delhi,Haze,36.05,39.6,41,998,5.14,5000,20.61,-51.58,273.1,4.76,379
Tue May 12 16:20:51 2026,1778583051.476018,Delhi,Haze,36.05,39.6,41,998,5.14,5000,19.62,-59.16,711.44,4.72,382
Tue May 12 16:21:51 2026,1778583111.1574569,Delhi,Haze,36.05,39.6,41,998,5.14,5000,18.63,-51.62,434.03,4.69,385
Tue May 12 16:22:52 2026,1778583172.0796928,Delhi,Haze,36.05,39.6,41,998,5.14,5000,17.52,-52.04,166.35,4.64,389
Tue May 12 16:23:52 2026,1778583232.4473884,Delhi,Haze,36.05,39.6,41,998,5.14,5000,16.42,-53.22,676.08,4.59,393
Tue May 12 16:24:53 2026,1778583293.4207244,Delhi,Haze,36.05,39.6,41,998,5.14,5000,15.31,-54.9,604.72,4.55,397
Tue May 12 16:25:54 2026,1778583354.4157393,Delhi,Haze,36.05,39.6,41,998,5.14,5000,14.21,-54.43,452.86,4.5,401
Tue May 12 16:26:54 2026,1778583414.0378275,Delhi,Haze,36.05,39.6,41,998,5.14,5000,13.21,-50.66,129.55,4.47,404
Tue May 12 16:27:56 2026,1778583476.6203265,Delhi,Haze,36.05,39.6,41,998,5.14,5000,12.10,-51.57,405.53,4.42,408
Tue May 12 16:29:07 2026,1778583547.920678,Delhi,Haze,36.05,39.6,41,998,5.14,5000,10.94,-53.94,133.44,4.38,412
Tue May 12 16:29:55 2026,1778583595.691175,Delhi,Haze,36.05,39.6,41,998,5.14,5000,10.00,-52.62,667.16,4.35,415
Tue May 12 16:31:56 2026,1778583716.932072,Delhi,Haze,36.05,39.6,41,998,5.14,5000,8.30,-55.34,530.46,4.28,422
Tue May 12 16:32:58 2026,1778583778.57226,Delhi,Haze,36.05,39.6,41,998,5.14,5000,7.19,-54.12,83.96,4.24,426
Tue May 12 16:33:58 2026,1778583838.949162,Delhi,Haze,36.05,39.6,41,998,5.14,5000,6.09,-58.2,630.93,4.2,430
Tue May 12 16:35:59 2026,1778583959.4760218,Delhi,Haze,36.05,39.6,41,998,5.14,5000,4.38,-55.26,588.61,4.36,437
Tue May 12 16:37:00 2026,1778584020.9752414,Delhi,Haze,36.05,39.6,41,998,5.14,5000,3.28,-50.5,257.95,4.32,441
Tue May 12 16:38:00 2026,1778584080.6415744,Delhi,Haze,36.05,39.6,41,998,5.14,5000,2.28,-57.81,539.49,4.51,444
Tue May 12 16:39:01 2026,1778584141.1460547,Delhi,Haze,36.05,39.6,41,998,5.14,5000,1.18,-57.48,423.68,4.47,448
Tue May 12 16:40:02 2026,1778584202.525383,Delhi,Haze,36.05,39.6,41,998,5.14,5000,0.07,-50.04,664.01,4.43,452
Tue May 12 16:41:01 2026,1778584261.4352393,Delhi,Haze,36.05,39.6,41,998,5.14,5000,100.00,-54.1,544.22,4.41,455
Tue May 12 16:42:02 2026,1778584322.6857865,Delhi,Haze,36.05,39.6,41,998,5.14,5000,98.89,-59.06,447.64,4.59,459
Tue May 12 16:43:04 2026,1778584384.295629,Delhi,Haze,36.05,39.6,41,998,5.14,5000,97.79,-53.8,678.62,4.55,463
Tue May 12 16:44:03 2026,1778584443.9416711,Delhi,Haze,36.05,39.6,41,998,5.14,5000,96.79,-46.79,191.43,4.52,466
Tue May 12 16:45:05 2026,1778584505.042626,Delhi,Haze,36.05,39.6,41,998,5.14,5000,95.68,-59.12,509.13,4.48,470
Tue May 12 16:46:05 2026,1778584565.1234803,Delhi,Haze,36.05,39.6,41,998,5.14,5000,94.58,-54.27,246.82,4.44,474
Tue May 12 16:47:06 2026,1778584626.5560336,Delhi,Haze,36.05,39.6,41,998,5.14,5000,93.47,-48.83,94.85,4.4,478
Tue May 12 16:48:06 2026,1778584686.1168714,Delhi,Haze,36.05,39.6,41,998,5.14,5000,92.48,-50.81,300.46,4.38,481
Tue May 12 16:49:06 2026,1778584746.3018186,Delhi,Haze,36.05,39.6,41,998,5.14,5000,91.38,-58.33,734.54,4.34,485
Tue May 12 16:50:05 2026,1778584805.8653417,Delhi,Haze,36.05,39.6,41,998,5.14,5000,90.38,-50.37,763.25,4.31,488
Tue May 12 16:51:08 2026,1778584868.116866,Delhi,Haze,36.05,39.6,41,998,5.14,5000,89.27,-51.49,681.5,4.28,492
Tue May 12 16:52:08 2026,1778584928.7448075,Delhi,Haze,36.05,39.6,41,998,5.14,5000,88.16,-56.61,334.07,4.24,496
Tue May 12 16:53:09 2026,1778584989.3188374,Delhi,Haze,36.05,39.6,41,998,5.14,5000,87.06,-56.62,1351.1,4.21,500
Tue May 12 16:54:09 2026,1778585049.557049,Delhi,Haze,36.05,39.6,41,998,5.14,5000,85.96,-56.27,250.42,4.17,504
Tue May 12 16:55:08 2026,1778585108.6924276,Delhi,Haze,36.05,39.6,41,998,5.14,5000,84.96,-54.42,120.9,4.15,507
Tue May 12 16:56:11 2026,1778585171.0601654,Delhi,Haze,36.05,39.6,41,998,5.14,5000,83.85,-56.61,396.3,4.12,511
Tue May 12 16:57:11 2026,1778585231.1355145,Delhi,Haze,36.05,39.6,41,998,5.14,5000,82.75,-53.26,611.12,4.09,515
Tue May 12 16:58:10 2026,1778585290.7283466,Delhi,Haze,36.05,39.6,41,998,5.14,5000,81.75,-51.19,480.72,4.06,518
Tue May 12 16:59:10 2026,1778585350.859393,Delhi,Haze,36.05,39.6,41,998,5.14,5000,80.65,-56.5,792.76,4.03,522
Tue May 12 17:00:11 2026,1778585411.5634372,Delhi,Haze,36.05,39.6,41,998,5.14,5000,79.55,-53.36,483.38,4.0,526
Tue May 12 17:01:12 2026,1778585472.0420372,Delhi,Haze,36.05,39.6,41,998,5.14,5000,78.45,-57.01,732.89,4.16,530
Tue May 12 17:02:12 2026,1778585532.463572,Delhi,Haze,36.05,39.6,41,998,5.14,5000,77.34,-49.76,86.99,4.13,534
Tue May 12 17:03:16 2026,1778585596.6399198,Delhi,Haze,36.05,39.6,41,998,5.14,5000,76.22,-53.15,323.55,4.1,538
Tue May 12 17:04:14 2026,1778585654.5081797,Delhi,Haze,36.05,39.6,41,997,5.14,5000,75.23,-52.42,567.08,4.07,541
Tue May 12 17:05:12 2026,1778585712.911956,Delhi,Haze,36.05,39.6,41,997,5.14,5000,74.24,-57.29,304.06,4.24,544
Tue May 12 17:06:12 2026,1778585772.5090756,Delhi,Haze,36.05,39.6,41,997,5.14,5000,73.24,-55.79,219.91,4.21,547
Tue May 12 17:07:14 2026,1778585834.8987317,Delhi,Haze,36.05,39.6,41,997,5.14,5000,72.13,-53.51,586.64,4.18,551
Tue May 12 17:08:15 2026,1778585895.4792547,Delhi,Haze,36.05,39.6,41,997,5.14,5000,71.03,-52.06,558.95,4.15,555
Tue May 12 17:09:15 2026,1778585955.320465,Delhi,Haze,36.05,39.6,41,997,5.14,5000,70.03,-58.73,662.83,4.13,558
Tue May 12 17:11:15 2026,1778586075.9986844,Delhi,Haze,36.05,39.6,41,997,5.14,5000,68.33,-52.8,662.43,4.08,565
Tue May 12 17:12:16 2026,1778586136.149336,Delhi,Haze,36.05,39.6,41,997,5.14,5000,67.23,-45.65,485.88,4.05,569
Tue May 12 17:13:16 2026,1778586196.4638925,Delhi,Haze,36.05,39.6,41,997,5.14,5000,66.12,-56.89,545.48,4.02,573
Tue May 12 17:14:18 2026,1778586258.3523183,Delhi,Haze,36.05,39.6,41,997,5.14,5000,65.02,-50.91,345.51,3.99,577
