timestamp,unix_ts,node_id,condition,temp,feels_like,humidity,pressure,wind_speed,visibility,battery_level,signal_strength,latency_ms,packet_loss_rate,seq_num
Tue May 12 15:49:42 2026,1778581182.716466,Bangalore,Clouds,33.05,33.25,37,1003,13.41,8000,51.57,-61.29,302.74,4.49,268
Tue May 12 15:50:42 2026,1778581242.753649,Bangalore,Clouds,33.05,33.25,37,1003,13.41,8000,50.47,-61.69,413.64,4.43,272
Tue May 12 15:51:43 2026,1778581303.2438226,Bangalore,Clouds,33.05,33.25,37,1003,13.41,8000,49.37,-56.29,307.09,4.36,276
Tue May 12 15:52:42 2026,1778581362.985653,Bangalore,Clouds,33.05,33.25,37,1003,13.41,8000,48.37,-64.26,509.58,4.32,279
Tue May 12 15:53:42 2026,1778581422.259248,Bangalore,Clouds,33.05,33.25,37,1003,13.41,8000,47.38,-58.83,360.07,4.27,282
Tue May 12 15:54:43 2026,1778581483.3828506,Bangalore,Clouds,33.05,33.25,37,1003,13.41,8000,46.27,-55.87,293.01,4.21,286
Tue May 12 15:55:44 2026,1778581544.0068042,Bangalore,Clouds,33.05,33.25,37,1003,13.41,8000,45.17,-56.25,676.56,4.15,290
Tue May 12 15:56:43 2026,1778581603.9271178,Bangalore,Clouds,33.05,33.25,37,1003,13.41,8000,44.17,-64.01,845.66,4.11,293
Tue May 12 15:57:45 2026,1778581665.3134131,Bangalore,Clouds,33.05,33.25,37,1003,13.41,8000,43.06,-62.35,612.52,4.05,297
Tue May 12 15:58:45 2026,1778581725.5531237,Bangalore,Clouds,33.05,33.25,37,1003,13.41,8000,41.96,-61.77,464.19,4.0,301
Tue May 12 15:59:45 2026,1778581785.5084562,Bangalore,Clouds,33.07,33.27,37,1003,13.41,8000,40.96,-60.88,649.32,3.96,304
Tue May 12 16:00:47 2026,1778581847.992985,Bangalore,Clouds,33.07,33.27,37,1003,13.41,8000,39.85,-57.32,262.16,3.91,308
Tue May 12 16:01:52 2026,1778581912.7203646,Bangalore,Clouds,33.07,33.27,37,1003,13.41,8000,38.72,-61.24,207.37,4.18,312
